ipr_id	pf_id	title
IPR000834	PF00246	Peptidase M14
IPR000755	PF01427	Peptidase M15
IPR016047	PF01551	Peptidase M23
IPR005073	PF03411	Peptidase M74
IPR001967	PF00768	Peptidase S11
IPR000667	PF02113	Peptidase S13
IPR005490	PF03734	L,D-transpeptidase catalytic domain
IPR007921	PF05257	CHAP domain
IPR000064	PF00877	Endopeptidase, NLPC/P60 domain
IPR040449	PF02016	Peptidase family S66
